Crime Code,year,date_reported,DR_NO,TIME OCC,AREA ,Crm Cd,LAT,LON,Crime Count
438,2010,2010-01-18,100204884,2300,2,438,34.0721,-118.2785,1
420,2010,2010-01-18,101105058,800,11,420,34.1128,-118.2679,1
341,2010,2010-01-18,100104961,745,1,341,34.0408,-118.2644,1
626,2010,2010-01-18,101305188,2140,13,626,34.0039,-118.2696,1
210,2010,2010-01-18,101305159,1240,13,210,34.0039,-118.2665,1
330,2010,2010-01-18,300614719,5030,6,990,102.1894,-354.8174,3
930,2010,2010-01-18,200309875,1930,3,1860,68.0986,-236.5291,2
310,2010,2010-01-18,302815251,4690,28,930,102.092,-354.8105,3
510,2010,2010-01-18,101105048,1800,11,510,34.0781,-118.2605,1
648,2010,2010-01-19,101305192,2340,13,648,34.001999999999995,-118.2718,1
330,2010,2010-01-19,604130486,7610,41,1980,204.3887,-709.6337,6
626,2010,2010-01-19,301515123,4410,15,1878,102.21549999999999,-354.80789999999996,3
740,2010,2010-01-19,101305249,200,13,740,34.001,-118.2762,1
812,2010,2010-01-19,100204990,1030,2,812,34.0656,-118.2678,1
310,2010,2010-01-19,100205006,400,2,310,34.0663,-118.2719,1
624,2010,2010-01-19,101305238,2200,13,624,34.0067,-118.2617,1
237,2010,2010-01-19,100204991,1030,2,237,34.0656,-118.2678,1
210,2010,2010-01-19,301715269,6000,17,630,102.1208,-354.8154,3
442,2010,2010-01-19,101305259,1720,13,442,34.0296,-118.2614,1
624,2010,2010-01-20,201510372,2935,15,1248,68.0711,-236.5461,2
440,2010,2010-01-20,201410406,2555,14,880,68.0775,-236.5279,2
815,2010,2010-01-20,101305317,915,13,815,34.0076,-118.2653,1
210,2010,2010-01-20,202610618,3000,26,420,68.0196,-236.542,2
331,2010,2010-01-20,101105174,1830,11,331,34.1199,-118.2651,1
330,2010,2010-01-20,403720745,7120,37,1320,136.2761,-473.1011,4
745,2010,2010-01-20,100200526,930,2,745,34.063,-118.2753,1
354,2010,2010-01-20,201510360,3000,15,708,68.0801,-236.5371,2
230,2010,2010-01-20,100105102,915,1,230,34.0444,-118.2628,1
231,2010,2010-01-20,101105186,1400,11,231,34.0833,-118.2723,1
510,2010,2010-01-20,100205053,1500,2,510,34.0495,-118.2748,1
626,2010,2010-01-20,301615422,6460,16,1878,102.1053,-354.7999,3
510,2010,2010-01-21,503225927,5830,32,2550,170.2509,-591.3648000000001,5
821,2010,2010-01-21,102005325,2345,20,821,34.0691,-118.2758,1
745,2010,2010-01-21,100205102,2130,2,745,34.091,-118.2788,1
900,2010,2010-01-21,101305392,1850,13,900,34.0208,-118.2643,1
210,2010,2010-01-21,302815775,2700,28,630,102.0875,-354.78679999999997,3
354,2010,2010-01-21,101105253,830,11,354,34.0916,-118.2733,1
330,2010,2010-01-21,703436270,10965,34,2310,238.3545,-827.8832000000001,7
930,2010,2010-01-21,100205090,1430,2,930,34.0767,-118.2707,1
341,2010,2010-01-21,200310200,3000,3,682,68.0951,-236.5393,2
740,2010,2010-01-21,201310327,4530,13,1480,68.13669999999999,-236.5537,2
626,2010,2010-01-21,201510419,1965,15,1252,68.0835,-236.5507,2
341,2010,2010-01-22,201410621,2201,14,682,68.04769999999999,-236.5368,2
441,2010,2010-01-22,101305434,1530,13,441,34.001999999999995,-118.274,1
930,2010,2010-01-22,100205141,1700,2,930,34.0462,-118.27600000000001,1
753,2010,2010-01-22,100205155,2030,2,753,34.068000000000005,-118.2695,1
354,2010,2010-01-22,301515620,3815,15,1062,102.2308,-354.7867,3
900,2010,2010-01-22,100205158,1935,2,900,34.0529,-118.2776,1
310,2010,2010-01-22,100205144,1530,2,310,34.0462,-118.27600000000001,1
510,2010,2010-01-22,202610809,3230,26,1020,68.0291,-236.5388,2
626,2010,2010-01-22,401720916,5770,17,2504,136.1486,-473.0795,4
624,2010,2010-01-22,401720726,4675,17,2496,136.2509,-473.0662,4
345,2010,2010-01-22,101100573,1530,11,345,34.1126,-118.2677,1
330,2010,2010-01-22,100205147,1400,2,330,34.0634,-118.26299999999999,1
420,2010,2010-01-22,202410684,3800,24,840,68.1013,-236.529,2
745,2010,2010-01-22,402620862,7970,26,2980,136.3555,-473.09020000000004,4
210,2010,2010-01-22,100205145,1345,2,210,34.0492,-118.2742,1
230,2010,2010-01-22,100205138,1145,2,230,34.0576,-118.2644,1
331,2010,2010-01-22,202410729,3530,24,662,68.1439,-236.5401,2
330,2010,2010-01-23,302816232,5750,28,990,102.0687,-354.8166,3
420,2010,2010-01-23,100205171,1730,2,420,34.0606,-118.2672,1
930,2010,2010-01-23,101305541,1425,13,930,34.0073,-118.2762,1
210,2010,2010-01-23,100205167,30,2,210,34.0534,-118.2745,1
662,2010,2010-01-23,100205195,1055,2,662,34.0601,-118.2761,1
740,2010,2010-01-23,202210695,221,22,1480,68.2014,-236.5393,2
888,2010,2010-01-23,100305377,1730,3,888,34.0219,-118.28,1
860,2010,2010-01-23,100205197,1205,2,860,34.0531,-118.2694,1
626,2010,2010-01-23,303711648,3665,37,1878,102.0977,-354.8208,3
237,2010,2010-01-23,100100552,1225,1,237,34.0401,-118.2668,1
510,2010,2010-01-23,100205165,100,2,510,34.061,-118.2615,1
230,2010,2010-01-23,101105367,1700,11,230,34.085,-118.2633,1
220,2010,2010-01-23,403716631,5390,37,880,136.28660000000002,-473.0857,4
946,2010,2010-01-23,100205200,1930,2,946,34.0573,-118.2699,1
341,2010,2010-01-23,301415774,2365,14,1023,102.2176,-354.7954,3
440,2010,2010-01-23,101305540,1600,13,440,34.0296,-118.2614,1
